dimension_id,dimension,weight,raw_score_0_to_5,evidence_confidence_0_to_1,evidence_ids,negative_evidence_ids,kill_gate,threshold,status,rationale
DIM-001,Problem severity and stakes,0.10,0,0.00,,,false,,untested,
DIM-002,Frequency and prevalence,0.08,0,0.00,,,false,,untested,
DIM-003,Willingness and ability to act or pay,0.10,0,0.00,,,true,,untested,
DIM-004,Beachhead clarity and reachability,0.08,0,0.00,,,true,,untested,
DIM-005,Market size growth and timing,0.06,0,0.00,,,false,,untested,
DIM-006,Alternative dissatisfaction and switching,0.07,0,0.00,,,false,,untested,
DIM-007,Value and measurable outcome,0.08,0,0.00,,,true,,untested,
DIM-008,Adoption and workflow fit,0.06,0,0.00,,,false,,untested,
DIM-009,Differentiation and credibility,0.05,0,0.00,,,false,,untested,
DIM-010,Pricing and margin potential,0.08,0,0.00,,,true,,untested,
DIM-011,Retention and expansion potential,0.05,0,0.00,,,false,,untested,
DIM-012,Channel and sales viability,0.06,0,0.00,,,true,,untested,
DIM-013,Competition and platform threat,0.04,0,0.00,,,false,,untested,
DIM-014,Defensibility and control point,0.03,0,0.00,,,false,,untested,
DIM-015,Technical operational regulatory viability,0.04,0,0.00,,,true,,untested,
DIM-016,Team right to win and time to proof,0.02,0,0.00,,,false,,untested,
